name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
Leopard Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Hydrurga,Hydrurga Leptonyx,Antarctica,,,,,,,,,Cold waters of the southern hemisphere,Carnivore,1,Herd,,,,The world's most aggressive seal species!,,GreyBlack,Fur,18 mph,20-24 years,"200-591kg (440-1,300lbs)",,,,,"Human, Sharks, Killer Whale",Mammal,,,,,Ocean,,,,,,,,,"Penguin, Fish, Squid",,,,,,Penguin,,,,,,,,,,
Leopard Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,Stigmochelys pardalis,Africa,,,,,,,,,Grassland and savannah,Herbivore,,Solitary,,,,The most widely distributed tortoise in Africa!,,BrownGreyYellowBlackTan,Scales,0.3 mph,50 - 100 years,18kg - 54kg (40lbs - 120lbs),40cm - 70cm (16in - 28in),,,,"Cats, Dogs, Humans",Reptile,,"Large body size and protective, patterned shell",,,,,,,,,12,,,"Grasses, Weeds, Flowers",,,,,,Grasses,,,,,,,,,,
Lhasa Apso,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Asia,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteSandyGoldenBlonde,Hair,,12 to 15 years,18 lbs,,,,,,,,,"Confident, friendly, and comical",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lhasapoo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo × Panthera tigris,Africa,"Deer, Wild Boar, Cattle",Cub,Solitary,Not known,Commercial breeding,Enormous head and body size,,100 days,Do not occur in the natural world,Carnivore,,Diurnal/Nocturnal,Liger,1,Zoos,The offspring of a lion and tiger parents!,Mammal,BrownBlackTanOrange,Fur,50 mph,18 - 22 years,"400kg - 600kg (882lbs - 1,322lbs)",,3 - 4 years,6 months,,,,,,,,Asia,Eurasia,North-America,,,,,,,,,,,,,,,,,,,,,,,
Lion,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Africa,"Antelope, Warthog, Zebra",Cub,Pride,"23,000",Habitat loss,Long and thick hairy mane of the male around the face,African Lion,110 days,"open woodland, scrub, grassland",Carnivore,3,Diurnal/Nocturnal,Lion,2,sub-Saharan Africa,Lives in small groups called prides!,Mammal,BrownGoldTawnyBlonde,Fur,35 mph,8 - 15 years,120kg - 249kg (264lbs - 550lbs),1.4m - 2.5m (4.7ft - 8.2ft),2 - 3 years,6 months,,,,,,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Lion’s Mane Jellyfish,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Cyanea capillata,Ocean,"Fish, zooplankton, shrimp, other jellyfish",,Solitary/School,"Possibly millions its IUCN conservation status is unevaluated, but not in danger of extinction",Pollution,Its size,"Giant jellyfish, hair jellyfish, hair jellyfish, mane jellyfish, Arctic red jellyfish, sea nettle, sea blubber, winter jellyfish",One day,Cooler ocean waters,Carnivore,,,Lion’s Mane Jellyfish,1,,,,YellowRedWhiteOrangePurple,,,One year,200 pounds,As much as 120 feet,,,,"Seabirds, sea turtles, anemones, ocean sunfish, larger jellies but only when the jellyfish is a juvenile.",Cnidarian,,,,,,,,,,,,,,,Salt,,,,,,,,,8.1,,,,,,
Lionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois volitans,Ocean,,,,,,,,,Tropical reefs and rocky crevices,Carnivore,,,Lionfish,,,"Females can release up to 15,000 eggs at a time!",,BrownRedBlackWhiteOrange,Scales,,10 - 18 years,,30cm - 35cm (12in - 14in),,,,"Eels, Frogfish, Scorpion Fish",,,Striped body markings with long spines,,,,,,,,,8000,,,"Fish, Shrimp, Crabs",Salt,,,,,Fish,,,,8.1 - 8.4,,,,,,
Little Brown Bat,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,North-America,Insects and spiders,Pups,Colony,Millions,White-nose syndrome,"The large, impressive wings",Little brown myotis or mouse-eared microbat,50-60 days,Forests,Carnivore,,,,1,North America,,,RedGoldDark BrownOlive,Hair,4.5 mph,6-7 years,5-14g (0.18-0.49oz),22-27cm (9-11in) with wings fully extended,1 year,21-28 days,1,"Owls, weasels, snakes, raccoons, fishers, hawks, and domesticated cats",Mammal,5-10cm (2-4in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula Minor,Ocean,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,The smallest species of penguin!,,GreyBlueBlackWhite,Feathers,,10 - 20 years,1kg - 3kg (2.2lbs - 6.6lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,35cm - 50cm (14in - 20in),Small body size with blue/grey feathers,,,Oceania,,,,,,,,,"Krill, Fish, Shrimp",,,,,,Krill,,,,,,,,,,
Lizard,Animalia,Chordata,Reptilia,Squamata,Lacertidae,,,Africa,,,,,,,,,Warm forests and deserts worldwide,Omnivore,18,Solitary,,,,"There are around 5,000 different species!",,BrownYellowBlackTanGreen,Scales,15 mph,1-30 years,0.01-300kg (0.02-661lbs),,,,,,Reptile,,,,,Asia,Central-America,Eurasia,,,,,,,"Insects, Birds, Small rodents",,,,,,Insects,,Europe,,,North-America,Oceania,South-America,,,
Lizardfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus Scopoli,Synodus lucioceps,Central-America,"Fish, shrimp, and squid",,Solitary,Unknown,Overfishing,The lizard-like head and sharp teeth,Grinners,A few days,Oceans and seas,Carnivore,,,Lizardfish,57,,,,BrownBlackWhiteOlive,Scales,,7-9 years,Up to 15 pounds,Up to 2 or 3 feet,,,,Larger fish,Ray-finned fish,,,,,North-America,South-America,,,,,,,,,Salt,,,,,,,,,Varies,,,,,,
Llama,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,Lama Glama,South-America,,,,,,,,,Mountainous deserts and grasslands,Herbivore,1,Herd,,,,Natively found in the Andes Mountain range!,,BrownBlackWhiteTan,Fur,28 mph,15-20 years,130-204kg (280-450lbs),,,,,"Human, Puma, Coyote",Mammal,,,,,,,,,,,,,,"Leaves, Grass, Shoots",,,,,,Leaves,,,,,,,,,,
Loach,Animalia,Chordata,Actinopterygii,Cypriniformes,,,,Asia,"Worms, other invertebrates",,School,,"overfishing, habitat destruction",Whiskers,"Clown loach, kuhli loach, hillstream loach",24 hours,Rivers,Omnivore,,,Loach,1249,,,,,Scales,,3-14 years,0.3lbs-6.6lbs (0.1-3kg),2in-20in (5cm-64cm),,,,,Cobitidae,,,,,Europe,North-America,,,,,,,,,,,,,,,,,,5.0 – 8,,,,,,
Lobster,Animalia,Arthropoda,,Decapoda,Nephropidae,,Nephropidae,Ocean,,,,,,,,,Sea gardens and rocky beds,Carnivore,12,Solitary,,,,Have been known to reach 100 years old!,,BrownRedBlueOrange,Shell,12 mph,20-80 years,1-7kg (2.2-15lbs),,,,,"Human, Eels, Large fish",Arthropod,,,,,,,,,,,,,,"Clams, Mussels, Starfish",,,,,,Clams,,,,,,,,,,
Locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,Africa,,,Swarm,,,,,,,Herbivore,,,,,,,,BrownBlackGreen,Exoskeleton,,,,,,,,,,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,,,Europe,,,Oceania,South-America,,,,
Lone Star Tick,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma americanum,Central-America,Blood,Larvae,Solitary,,Ingestion by nematodes or mites,Star shaped spot on female’s back,"Northeastern water tick, turkey tick, cricker tick",1-30 days,,Omnivore,,,Turkey tick,1,"North America, Central America, South America",,Arachnid,Brown,Exoskeleton,,6-18 months,,2-6 mm,9-17 days,,"5,000 eggs",,Insect,,,,,North-America,South-America,,,,,,,,,,,,,,,,,,,,,,,,
Long-Eared Owl,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,Casuarius,Asia,,,,,,,,,Coniferous forests,Carnivore,,Solitary,,,,Ear tufts make it look bigger!,,BrownYellowBlackTan,Feathers,31 mph,40 - 60 years,100g - 300g (8.75oz - 10oz),,,,,"Eagles, Harks, Foxes",Bird,31cm - 37cm (12in - 14.5in),Long ear-tufts and tan-coloured eye disks,,,Eurasia,Europe,North-America,86cm - 98cm (34in - 38.5in),,,5,,,"Rodents, Small birds and reptiles",,,,,,,,,,,,,,,,
Long-Haired Rottweiler,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,puppy,,,,,,,,Omnivore,,,long-haired rottweiler,,,,,BlackTan,Hair,24 mph,9-10 years,,,,,6-12 puppies,,mammal,,,"Loyal, affectionate, confident, and fearless",,,,,,,,,,,,,,,,,,Germany,,,,,,,,,
Long-Tailed Tit,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,Asia,Insects,,,,"Freezing weather, predators",Extremely long tail,"Alpine tit, European tit",,"Moorlands, farmlands, town and city gardens",Omnivore,,,Long-tailed tit,17,Asia and Europe,,,BlackWhitePink,,27 mph,2-3 years,9-10 grams,5-6 inches,,,Jun-15,"Falcons, jays, crows",bird,1-2 inches,,,,Europe,,,5.5 inches,13-17 days,,10,,,,,,,Fork of a tree branch,14-18 days,,,,,,,,,,,
Longnose Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus,North-America,,,,Not known,Birds that prey on fish,Long body with a beak-like mouth,The needle nose gar or the Billy gar,7-9 days,"Brackish waters, fresh waters, saline waters (Not salty waters). Found in Texas, Mexico, Florida, Michigan, and Wisconsin",Carnivore,,,Longnose gar,,,,,BrownGreyBlackOlive,Scales,,Up to 20 years,28 lbs,Up to 6.5 feet,,,,Birds that prey on fish,Fish,,,,,,,,,,,,,,"Menhaden, sunfish, and perch",Brackish,,,,,,,,,4.8 to 6.4,,,,,,
Lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,,Asia,"Flowers, fruit, nectar, pollen, and insects",,,Unknown,"Deforestation, hunting, and poaching",The brightly-colored rainbow-like plumage,,,Forests and groves,Omnivore,,,Lorikeet,,Australia and Southeast Asia,,,RedBlueBlackGreenPurple,Feathers,,,20-280g,5-13 inches,,,,Snakes and birds of prey,Bird,,,,,Oceania,,,About 15-24in,25 days,,2,,,,,,,Hollowed trees,7-8 weeks,,,,,,,,,,,
Lowchen,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,BlueBlackTanCreamSilverChocolate,Hair,,12 to 14 years,18 Lbs,,,,,,,,,"Energetic, bold",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumpfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Ocean,"Crustaceans, worms, jellyfish, herring, sand lance, and more",,Solitary,Unknown,Overfishing,"The lumpy, gelatinous flesh",Lumpsuckers,1-2 months,Atlantic and Pacific Oceans,Carnivore,,,Lumpfish,30,,,,BrownGreyBlueBlackWhite,Skin,,6-13 years,Up to 9.5kg (21lbs),2-61cm (1-24in),,,,"Skates, seals, sperm whales, sharks, and orcas",Ray-finned fish,,,,,,,,,,,,,,,Salt,,,,,,,,,Unknown,,,,,,
Lungfish,Animalia,Chordata,Sarcopterygii,Dipnoi,,,Dipnoi,Africa,"Worms, crustaceans, insects, amphibians, plants, and other lungfish",,Solitary,Unknown,Habitat changes,"Modified lungs for buoyancy, breathing, and waste extraction",Salamander fish,1-2 weeks,"Rivers, lakes, wetlands and streams",Omnivore,,,,6,,,,BrownGreyYellowBlueGreen,Scales,,More than 20 years,Up to 37 lbs,Up to 7 feet,,,,Humans,,,,,,Oceania,South-America,,,,,,,,,Fresh,,,,,,,,,Varies,,,,,,
Lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Felis lynx,Eurasia,,,,,,,,,Secluded forests and mountainous regions,Carnivore,4,Solitary,,,,Live in dens in rocks and under ledges!,,BrownYellowBlackTan,Fur,50 mph,12-20 years,10-25kg (22-55lbs),,,,,"Wolf, Coyote, Human, Cougar",Mammal,,,,,Europe,North-America,,,,,,,,"Hare, Birds, Deer",,,,,,Hare,,,,,,,,,,
Lyrebird,Animalia,Chordata,Aves,Passeriformes,Menuridae,Menura,,Oceania,"Invertebrates, small lizards and frogs",,,"3500 for Albert’s lyrebird, over 10,000 for Superb lyrebird","Habitat destruction, hunting, invasive species such as red foxes",The male bird’s skill at mimicry,"Bulln-bulln, weringerong, woorail for the Superb, northern lyrebird for the Albert’s",,Bushland and rainforests,Carnivore,,,Lyrebird,2,"Australia: Victoria, Tasmania and New South Wales for the Superb lyrebird, Queensland for Albert’s lyrebird",,,BrownGrey,Feathers,9 mph,Up to 30 years,"Superb lyrebirds weigh around 2.14 pounds, Albert’s 2.06 pounds","74 to 98 inches long for the Superb, 84 to 90 inches long for Albert’s",,,1,"Birds of prey, including currawongs, foxes, cats and dogs",Bird,,,,,,,,27 to 31 inches,,,,,,,,,,On an earthen mound or among rocks,Six weeks,,,,,,,,,,,
Macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca,Africa,"Fruits, seeds, leaves, flowers, bark, and insects",infant,Troop,varies,Habitat loss,The long hair around the muzzle,Cynomolgus,5-6 months,"Plains, mountains, and rainforests",Carnivore,1,,Macaque,20,Asia and North Africa,,,BrownRedBlackWhiteTan,Hair,,up to 40 years,Up to 40 lbs,Up to 28 inches on all fours,3-7 years,,1,"Tigers, crocodiles, snakes, leopards, and birds of prey",mammal,,,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Macaroni Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes Chrysolophus,Antarctica,,,,,,,,,Sea and ice-islands in Sub-Antarctica,Carnivore,,Colony,,,,"Gather in colonies of up to 100,000 members!",,BrownYellowBlackWhite,Feathers,22 mph,15-20 years,3.2-6.4kg (7-14lbs),,,,,"Leopard Seal, Killer Whale",Bird,,,,,Ocean,,,80-100cm (31-39in),,,2,,,"Fish, Squid, Crustaceans",,,,,,Fish,,,,,,,,,,
Macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Arini,Arini,Central-America,,,,,,,,,Rainforests and tropical jungle,Omnivore,,Flock,,,,The largest species of parrot in the world!,,YellowRedBlueWhiteGreen,Feathers,15 mph,50 - 60 years,0.9kg - 2kg (2lbs - 4.4lbs),,,,,,Bird,76cm - 100cm (30in - 39in),Large colourful body and curved beak,,,South-America,,,3-4 feet,Up to 28 days,,,,,"Fruit, Nuts, Seeds, Insects",,,,"Tall trees, riverbanks and cliffsides",9-10 months,Fruit,,,1,,,,,,,
Mackenzie Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus occidentalis,North-America,"Rodents, moose, bison, elk, caribou, sheep, mountain goats, deer, beavers, salmon, rabbits, squirrels, vole, and lemmings.",pup,Pack,"40,000+","Grizzly bears, polar bears, tigers, scavengers, and humans.",gray coat,"Northwestern wolf, Mackenzie Valley wolf, Rocky Mountain wolf, Alaskan timber wolf, or Canadian timber wolf.",Approximately 63 days,"Mountains, forests.",Carnivore,,,Northwestern wolf,1,Western North America,,,GreyWhite,Fur,40 mph,"6-8 years, though some can live up to 17 years in captivity",85-153 lbs,,"2 years for females, 3 years for males.",8 weeks,4-6 pups,"Grizzly bears, polar bears, tigers, scavengers, and humans.",Mammal,32-40 inches tall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar Hissing Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina portentosa,Africa,Decaying plant matter,Nymph,Colony,,Extermination by humans,Produces a hissing sound,"Hisser, hissing roach",55-65 days,,Omnivore,,,Hisser,1,Madagascar,,,Brown,Exoskeleton,2 mph,2-5 years,15-20 g,2-4 in,7 months,,30-60 nymphs,,Insect,0.25 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magellanic Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,Ocean,,,,,,,,,Antarctic islands,Carnivore,2,Flock,,,,Threatened by oil spills!,,BrownGreyBlackWhite,Feathers,22 mph,15 - 20 years,2.7kg - 6.5kg (5.9lbs - 14lbs),61cm - 76cm (24in - 30in),,,,"Sea Lion, Leopard Seal, Killer Whale",Bird,,Black beak and small wings,,,South-America,,,,,,,,,"Cuttlefish, Squid, Sardines",,,,,,Cuttlefish,,,,,,,,,,
Maggot,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Lucilia,Lucilia sericata,Africa,"None, only consumes decaying matter.",,Group,,Pest control,Rice-like shape,"Botfly maggot, fly larva, grub, maggot, surgical maggot.",24-48 hours,Damp surfaces with decaying matter,Omnivore,,,maggot,,,,group or grumble,White,Skin,,30 days,1.5-3.4 grams,1-25mm,Up to 40 days,,150 or less,"Small mammals, birds, amphibians, and reptiles",insect,,,,,Central-America,North-America,South-America,,,,,,,,,,,,,,,,,,,,,,,
Magpie,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica Pica,Africa,,,,,,,,,"Open woodland, grasslands and savannas",Omnivore,,Solitary,,,,"They are found across Europe, Asia and Africa!",,BlackWhite,Feathers,20 mph,25 - 30 years,200g - 250g (7oz - 9oz),40cm - 46cm (16in - 18in),,,,"Foxes, Cats, Coyote",Bird,,Black and white markings and long wedge-shaped tail,,,Asia,Eurasia,Europe,52cm - 60cm (20in - 24in),,,3,,,"Fruit, Nuts, Seeds, Insects",,,,,,Fruit,,Oceania,,,,,,,,
Mahi Mahi (Dolphin Fish),Animalia,Chordata,Actinopterygii,Carangiformes,Coyphaenidae,Coryphaena,Coryphaena hippurus,Central-America,"Crustacean, squid, fish",,School,Unknown,None,Its vivid colors,"Dorado, llampuga (Spanish), lampuka (Malta), lampuga or capone (Sicily), Coryphene (French), Goldmakrel (German), Shiira (Japanese)",41 - 45 hours,"Temperate, tropical, and subtropical waters",Omnivore,,,,,,,,BlueGoldGreenBeige,Scales,,4 - 5 years,15 - 29 pounds,39.3 inches,3 - 5 months,Unknown,,"Humans, larger fish, marine mammals",Fish,,Blunt face,,,North-America,Ocean,,,,,,,,,Salt,,,,,,,,,,,,,,,
Maine Coon,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,North-America,,,,,,,"Coon Cat, Maine Cat, Maine Shag, American Longhair, American Coon Cat, American Forest Cat",,,Omnivore,5,,Gentle Giant,,,"Folklore says it's half cat, half raccoon!",Longhair,BrownRedBlueBlackWhiteGoldCreamSilver,Hair,,9-13 years,"8-12lbs, up to 15lbs for females and 25lbs for males",,,,,,,,,"Intelligent, loving and affectionate",,,,,,,,,,,,,,,,,,,,,,,,,,,
Malayan Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,Viverra tangalunga,Asia,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,Also known as the Oriental Civet!,,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,,,,"Tiger, Snakes, Leopards",Mammal,43cm - 71cm (17in - 28in),"Elongated body and snout with sharp, pointed teeth",,,,,,,,,,,,"Rodents, Snakes, Frogs",,,,,,Rodents,,,,,,,,,,
Malayan Tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Jacksoni,Asia,,,,,,,,,Dense tropical forest,Carnivore,3,Solitary,,,,Found in less-dense jungles!,,BlackWhiteOrange,Fur,60 mph,18 - 25 years,80kg - 150kg (176lbs - 330lbs),,,,,Human,Mammal,,,,,,,,,,,,,,"Deer, Cattle, Wild Boar",,,,,,Deer,,,,,,,,,,
Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Africa,"Vegetation, insects, worms, and snails",,Flock,Unknown,Habitat loss and hunting,The iridescent green or blue-headed plumage of the male,Wild duck,,"Wetlands, lakes, streams, and ponds",Omnivore,,,Mallard,1,Worldwide,,,BrownGreyWhiteGreenOrange,Feathers,60 mph,5-10 years,38g on average (.084 pounds),20-26 inches,,,,,Bird,,,,,Asia,Central-America,Europe,2.7-3.2ft,26-30 days,,,,,,,,,Tall and dense vegetation near the water,52-60 days,,,North-America,1,,Oceania,South-America,,,,
Malteagle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteCream,Hair,,12-15 years,25 lbs,,,,,,,,,Affectionate and playful,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Maltese,,,Originally bred in Europe!,Gun Dog,,Hair,,17 years,3kg (7lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese Shih Tzu,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Oceania,,,,,,,Mal-shi,,,Omnivore,,Pack,,,,,,BrownBlackWhiteTan,Hair,,12-14 years,6-15 pounds,,,,6-8 puppies,,,,,"Adaptable, intelligent, active.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltipoo,Animalia,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamba,Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,"Dendroaspis angusticeps, Dendroaspis jamesoni, Dendroaspis polylepis, Dendroaspis viridis",Africa,"bush babies, hyrax, birds, bats, rodents, and eggs",,,,,,,,,Omnivore,6 to 25 eggs,,Mamba,,,,,BrownGreyGreen,,,"11 years in the wild, 18 in captivity",,4.6-14ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lighter bellies,,
Mamushi Snake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,Asia,"Rodents, small birds, lizards, and insects",,,,,,,,,Omnivore,Feb-13,,Mamushi,,,,,BrownGrey,,,14 years,,12-25 inches,,,,,,,,,,,,,,,,,Yes,High,,,,,,,,,,,,,,,,,
Man of War Jellyfish,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Physaliidae,Physalia,Physalia physalis,Ocean,"Small fish, shrimp, plankton",,Legion,unknown,predators and climate change,"floating balloon-like, air-filled bladder","man o'war, bluebottle, blue bottle jellyfish",,tropical and sub-tropical oceans,Carnivore,,,Man of war jellyfish,1,,,,BluePurplePink,Skin,,,,30ft - 165ft,,,,"loggerhead sea turtle, blue sea slug, violet sea snail",siphonophore,,,,,,,,,,,,,,,Salt,,,,,,,,,,,,,,,
Manatee,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,,Ocean,,,,,,,,,Warm coastal waters and slow-moving rivers,Herbivore,1,Solitary,,,,Also known as the Sea Cow!,,BrownGrey,Smooth,13 mph,50-70 years,"400-550kg (800-1,212lbs)",,,,,"Human, Sharks",Mammal,,,,,,,,,,,,,,"Sea Grass, Algae, Flowers",,,,,,Sea Grass,,,,,,,,,,
Manchester Terrier,Animalia,Hemichordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,BlueBlackTan,Hair,,15-17years,12 lbs,,,,,,,,,"Alert, observant, devoted, and discerning",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandrill,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,Mandrillus Sphinx,Africa,,,,,,,,,Dense and coastal tropical forests,Omnivore,1,Troop,,,,Distinctively coloured noses and rumps!,,BrownGreyBlackWhiteTan,Fur,25 mph,20-28 years,11.5-30kg (25-60lbs),,,,,"Leopard, Eagles, Snakes",Mammal,,,,,,,,,,,,,,"Fruit, Roots, Insects",,,,,,Fruit,,,,,,,,,,
Maned Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,Chyrsocyon brachyurus,South-America,"Small- to medium-sized animals including rodents, birds, fish, and rabbits; vegetable matter including tubers, fruit, and sugarcane",Pup,Solitary,"23,600",Habitat destruction,Reddish brown or golden orange fur with a black mane,,60 to 65 days,"Semi-open habitats such as grasslands, forests, and scrub prairies",Omnivore,,NocturnalCrepuscular,Maned Wolf,1,Central and eastern South America,,Mammal,BrownBlackOrange,Fur,47 mph,12 to 15 years,51 pounds,39 inches (additional 18 inches including tail),1 year,4 months,2 to 6 pups,Jaguars and pumas,,35 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga dendrophila,Asia,"Reptiles, birds, small mammals.",,,,,,,,,Omnivore,4 to 15 eggs,,Mangrove snake or gold-ringed cat snake,,,,,,,,12 to 17 years,,6-7 feet,,,,,,,,,,,,,,,,,Yes,Medium,,,,,,,,,,,,,,,,,
Manta Ray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Manta,,Ocean,Zooplankton,,Solitary,,"Fishing, harvesting for international trade","Broad, flat bodies",Devil fish,12 to 13 months,All world oceans,Carnivore,,,Manta Ray,2,,Can grow up to 9m wide!,,GreyBlueBlackWhite,Smooth,20 mph,50 years,"5,300 pounds",23 feet,,,,"Sharks, Humans, Killer Whales",Fish,,,,,,,,,,,2,,,"Fish, Plankton, Shrimp",Salt,,,,,,,,,06-Sep,,,,,,
Mantella Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,,Africa,"Termites, ants, fruit flies, other insects",tadpoles and froglets,Colony,"unknown, varies by species",climate change and pollution,Size and color,"Jewels of Madagascar, Malagasy poison frogs",2 days,Island of Madagascar,Carnivore,,,Mantella frogs,16,Madagascar,,,YellowBlueBlackGreenOrange,Permeable,,5 years to 10 years,Up to 2oz,0.71in –1.22in (18mm-31mm),12 to 15 months,,dozens,"Small mammals, snakes, birds",Amphibian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
